2025-10-02 19:36:31,ls,,/
2025-10-02 19:36:31,cd,folder1,Ошибка: директория 'folder1' не найдена.
2025-10-02 19:36:31,ls,,/
2025-10-02 19:36:31,cd,..,Текущая директория: /
2025-10-02 19:36:31,ls,,/
2025-10-02 19:36:31,cd,non_existent_dir,Ошибка: директория 'non_existent_dir' не найдена.
2025-10-02 19:36:31,ls,,/
2025-10-02 19:36:31,exit,,Выход из эмулятора
2025-10-02 19:37:00,exit,,Выход из эмулятора
2025-10-02 19:39:36,ls,,/
2025-10-02 19:39:36,cd,folder1,Ошибка: директория 'folder1' не найдена.
2025-10-02 19:39:36,ls,,/
2025-10-02 19:39:36,cd,..,Текущая директория: /
2025-10-02 19:39:36,ls,,/
2025-10-02 19:39:36,cd,non_existent_dir,Ошибка: директория 'non_existent_dir' не найдена.
2025-10-02 19:39:36,ls,,/
2025-10-02 19:39:36,exit,,Выход из эмулятора
2025-10-02 19:39:55,ls,dir,/
2025-10-02 19:40:04,ls,,/
2025-10-02 19:40:08,ls,/,/
2025-10-02 19:40:12,exit,,Выход из эмулятора
